Course ID,Course Name,Course Status,Section,Available Seats,Total Seats,Section Status,Instructor,Min credits,Max credits
CSC 501,Operating Systems Principles,OPEN,002,53,84,OPEN,"Jin,Guoliang",3,3
CSC 503,Computational Applied Logic,OPEN,001,24,50,OPEN,"Doyle,Jon",3,3
CSC 505,Design and Analysis Of Algorithms,OPEN,001,26,80,OPEN,"Heber,Steffen",3,3
CSC 505,Design and Analysis Of Algorithms,OPEN,002,110,125,OPEN,"Heber,Steffen",3,3
CSC 506,Architecture Of Parallel Computers,OPEN,001,21,30,OPEN,Staff,3,3
CSC 510,Software Engineering,CLOSED,001,0,115,CLOSED,"Menzies,Timothy James",3,3
CSC 512,Compiler Construction,OPEN,001,10,40,OPEN,Staff,3,3
CSC 514,Foundations of Cryptography,WAITLIST,001,0,30,WAITLIST,"Scafuro,Alessandra",3,3
CSC 517,Object-Oriented Design and Development,OPEN,001,35,80,OPEN,"Gehringer,Edward F.",3,3
CSC 520,Artificial Intelligence I,OPEN,001,82,110,OPEN,"Lynch PhD,Collin F.",3,3
CSC 522,Automated Learning and Data Analysis,CLOSED,001,0,110,CLOSED,"Chi,Min",3,3
CSC 530,Computational Methods for Molecular Biology,OPEN,001,5,40,OPEN,"Heber,Steffen",3,3
CSC 533,Privacy in the Digital Age,OPEN,001,38,80,OPEN,"Das,Anupam",3,3
CSC 540,Database Management concepts and Systems,WAITLIST,001,0,80,WAITLIST,"Ogan,Kemafor",3,3
CSC 555,Social Computing and Decentralized Artificial Intelligence,CLOSED,001,0,25,CLOSED,"Singh,Munindar P",3,3
CSC 561,Principles of Computer Graphics,OPEN,001,35,90,OPEN,"Watson,Benjamin Allen",3,3
CSC 565,Graph Theory,CLOSED,001,0,40,CLOSED,"Sheehy,Donald",3,3
CSC 570,Computer Networks,OPEN,001,15,30,OPEN,"Yu,Ruozhou",3,3
CSC 570,Computer Networks,OPEN,002,0,30,CLOSED,"Harfoush,Khaled Abdel Hamid",3,3
CSC 570,Computer Networks,OPEN,003,0,40,WAITLIST,"Eun,Do Young",3,3
CSC 573,Internet Protocols,OPEN,001,24,30,OPEN,"Dutta,Rudra",3,3
CSC 573,Internet Protocols,OPEN,002,0,30,CLOSED,"Harfoush,Khaled Abdel Hamid",3,3
CSC 574,Computer and Network Security,WAITLIST,001,0,30,WAITLIST,"Reaves,Brad",3,3
CSC 577,Switched Network Management,OPEN,001,21,23,OPEN,"Viniotis,Ioannis",3,3
CSC 577,Switched Network Management,OPEN,201,21,23,OPEN,"Viniotis,Ioannis",3,3
CSC 579,Introduction to Computer Performance Modeling,OPEN,001,10,20,OPEN,"Rouskas,Georgios",3,3
CSC 580,Numerical Analysis I,CLOSED,002,0,5,CLOSED,"Alexanderian,Alen",3,3
CSC 582,Computer Models of Interactive Narrative,CLOSED,001,0,40,CLOSED,"Martens,Chris",3,3
CSC 591,Special Topics In Computer Science,OPEN,001,0,20,WAITLIST,"Mueller,Rainer Frank",1,6
CSC 591,Special Topics In Computer Science,OPEN,004,0,25,CLOSED,"Perros,Harilaos George",1,6
CSC 591,Special Topics In Computer Science,OPEN,013,10,20,OPEN,"Roberts,David L",1,6
CSC 591,Special Topics In Computer Science,OPEN,022,0,20,WAITLIST,"Stolee,Kathryn Thomasset",1,6
CSC 591,Special Topics In Computer Science,OPEN,024,0,15,WAITLIST,"Ore,John-Paul",1,6
CSC 591,Special Topics In Computer Science,OPEN,059,0,26,WAITLIST,"Viniotis,Ioannis",1,6
CSC 591,Special Topics In Computer Science,OPEN,069,8,20,OPEN,"Eun,Do Young",1,6
CSC 591,Special Topics In Computer Science,OPEN,078,3,10,OPEN,"Guvenc,Ismail",1,6
CSC 591,Special Topics In Computer Science,OPEN,080,40,40,OPEN,"Aysu,Aydin",1,6
CSC 591,Special Topics In Computer Science,OPEN,084,4,20,OPEN,"Lin,Shih-Chun",1,6
CSC 600,Computer Science Graduate Orientation,OPEN,001,159,210,OPEN,"Healey,Christopher Graham",1,1
CSC 600,Computer Science Graduate Orientation,OPEN,002,73,100,OPEN,"Healey,Christopher Graham",1,1
CSC 630,Master's Independent Study,OPEN,001,100,100,OPEN,Staff,1,3
CSC 690,Master's Examination,OPEN,001,100,100,OPEN,Staff,1,9
CSC 693,Master's Supervised Research,OPEN,001,100,100,OPEN,Staff,1,9
CSC 695,Master's Thesis Research,OPEN,001,98,100,OPEN,Staff,1,9
CSC 699,Master's Thesis Preparation,OPEN,001,100,100,OPEN,Staff,1,9
CSC 712,Software Testing and Reliability,OPEN,022,5,20,OPEN,"Stolee,Kathryn Thomasset",3,3
CSC 722,Advanced Topics in Machine Learning,CLOSED,001,0,30,CLOSED,"Bahler,Dennis R",3,3
CSC 762,Computer Simulation Techniques,RESERVED,001,3,5,RESERVED,"Liu,Yunan",3,3
CSC 791,Advanced Topics In Computer Science,OPEN,012,0,25,CLOSED,"Singh,Munindar P",1,6
CSC 791,Advanced Topics In Computer Science,OPEN,024,12,15,OPEN,"Ore,John-Paul",1,6
CSC 801,Seminar in Computer Science,OPEN,001,30,30,OPEN,"Jin,Guoliang",1,3
CSC 801,Seminar in Computer Science,OPEN,002,27,50,OPEN,"Dutta,Rudra",1,3
CSC 830,Doctoral Independent Study,OPEN,001,100,100,OPEN,Staff,1,3
CSC 885,Doctoral Supervised Teaching,OPEN,001,100,100,OPEN,Staff,1,3
CSC 890,Doctoral Preliminary Exam,OPEN,001,98,100,OPEN,Staff,1,9
CSC 893,Doctoral Supervised Research,OPEN,001,179,200,OPEN,Staff,1,9
CSC 895,Doctoral Dissertation Research,OPEN,001,99,100,OPEN,Staff,1,9
CSC 899,Doctoral Dissertation Preparation,OPEN,001,100,100,OPEN,Staff,1,9
